Label: DJ_T47D_20-12-2013_plate-2
Metric: Phase Object Confluence (Percent)
Cell Type: T47D
Passage: 1
Notes: 
Analysis Job: DJ_T47D_20-12-13_plate 2

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
23/12/2013 20:00:00	80	19.1073	22.72627	21.86301	20.39283	19.78315	20.05186	16.18681	18.19525	18.19209	11.79518	12.54497	11.20439	18.46476	19.16033	19.96399	16.46344	17.63454	16.87181	20.14378	21.40898	20.54965	21.15146	19.32137	17.45303	20.66941	21.43061	21.50874	23.61382	18.78644	18.11505	22.51288	22.69877	19.5398	20.21462	20.731	19.50028	21.67254	22.59618	19.78816	23.00878	20.46904	18.12907	20.89341	18.166	22.74771	21.345	20.61298	19.77148	22.25255	22.62213	22.3461	22.54271	20.71086	21.29015	19.19616	21.07874	19.5599	19.72287	20.8215	19.6317
24/12/2013 00:00:00	84	20.54499	24.39557	23.20632	22.03387	21.20039	21.44158	17.27419	19.18419	19.1224	12.36674	13.08614	11.59474	19.85029	20.03004	21.32204	17.46845	18.43508	17.97485	21.608	22.9836	21.89437	22.60339	20.84404	18.98876	22.18656	22.79134	22.97878	25.26377	20.29015	19.17877	23.97298	24.26957	20.77593	21.59752	22.17415	20.90994	23.14235	24.41125	21.41913	25.01038	22.1384	19.48878	22.29274	19.91509	24.43741	23.05497	22.19432	21.05914	24.40121	24.35637	24.38251	24.32204	22.33988	22.47318	20.59264	22.64739	21.0862	21.08836	22.54813	20.80627
24/12/2013 04:00:00	88	21.9807	26.30098	24.83406	23.67688	22.62406	22.99512	18.39823	20.23584	20.3867	13.02594	13.28384	12.05284	20.9733	21.51624	22.46142	18.32099	19.73485	19.03753	23.41632	24.67921	23.71	23.86888	22.16092	20.10928	24.02663	24.65374	24.92702	27.0661	21.70657	20.69922	25.68258	26.04415	22.34071	23.38357	23.87858	22.64133	25.08911	26.2776	22.95405	27.19468	23.74668	20.9381	24.15762	21.61315	26.39382	24.42565	23.74773	22.50067	26.19681	26.11815	26.05113	26.09777	24.05504	24.07157	22.21478	24.18894	22.64055	22.75869	24.23141	22.64464
24/12/2013 08:00:00	92	23.56076	27.99885	26.41461	25.25549	24.44967	24.60103	19.45148	21.5528	21.71122	13.48205	13.76991	12.55973	22.15382	22.9187	23.79895	19.38267	20.73384	19.83517	25.01735	26.13778	25.2437	25.17103	23.5192	21.44654	25.43716	26.62015	26.88087	28.95579	23.16736	22.19365	27.5809	27.97792	23.88715	25.08974	25.08539	23.92742	26.84872	28.13684	24.57316	29.11427	25.31124	22.42515	25.83748	23.18089	28.15981	25.89136	25.2562	24.26405	27.8425	27.92171	28.172	27.82377	25.76436	25.7078	23.72891	26.03508	23.82579	24.23738	25.78007	24.27838
24/12/2013 12:00:00	96	25.46794	29.77194	28.44624	27.05555	26.17792	26.5271	20.4731	23.02123	22.69742	13.96196	14.053	12.91494	23.60554	24.2312	25.21091	20.35001	21.95181	20.87916	26.54507	27.90118	26.98457	26.79173	25.19611	22.87377	27.24357	28.87071	28.55966	30.91004	24.82482	23.77008	29.41487	29.55689	25.60762	26.57554	27.03467	25.87393	29.1677	29.74302	26.39247	30.93223	27.04282	23.96369	27.77977	24.88435	30.31747	27.80283	27.17641	25.71538	29.99982	30.36767	29.8856	29.81962	27.82918	27.46322	25.3536	27.93448	25.56778	25.91558	27.65556	25.88243
24/12/2013 16:00:00	100	27.14901	31.92345	30.82174	28.87497	28.07917	28.60392	21.50152	24.30516	23.91365	14.28802	14.29201	13.2976	24.92623	25.91399	26.7022	21.79251	23.2149	22.02742	28.37724	30.01773	28.85663	28.40408	26.7981	24.21187	29.03941	31.01897	30.66183	33.10492	26.58148	25.47134	31.09634	31.65929	27.35599	28.55689	28.87801	27.78806	31.08862	31.97548	28.18637	33.08794	28.93595	25.80475	29.82978	26.72072	32.64991	29.55375	28.98141	27.5171	31.74142	32.42094	31.83954	31.77337	29.71326	29.45701	27.08033	30.06676	27.06197	27.86287	29.68244	27.65348
24/12/2013 20:00:00	104	29.25275	34.05153	33.00404	31.07153	30.15107	30.9171	22.77181	25.58428	25.36971	14.60594	14.63638	13.80386	26.37242	27.37637	28.15061	22.6046	24.36011	23.35333	30.32504	32.17741	30.83806	29.81224	28.17491	25.6777	31.19798	33.24883	32.80046	34.99283	28.4712	27.23386	32.78174	33.98336	29.31952	30.68651	31.08252	29.58364	33.62714	34.11779	30.21294	35.44944	30.55733	27.79302	31.69671	28.4764	35.08417	31.5254	30.88227	29.41081	33.92725	34.90438	34.16323	33.8797	32.03223	31.67952	28.86133	32.24221	29.22268	29.90175	31.99493	29.87751
25/12/2013 00:00:00	108	30.99935	36.17047	34.99929	33.15074	32.10459	32.92008	24.06806	26.73472	26.96841	14.74062	14.89794	14.05196	28.21533	29.30164	29.80388	23.79218	25.14811	24.68698	31.99422	34.11738	32.68668	31.39204	29.99461	27.71999	33.41463	35.60641	34.86565	37.19734	30.62838	29.00644	34.881	36.01778	31.37815	32.65613	33.11116	31.77404	35.86706	36.21325	32.59195	38.38973	32.75627	29.56048	34.11329	30.49969	37.13886	33.59781	32.9035	31.77014	36.22271	37.3872	36.71706	35.70991	34.21446	33.53366	30.76503	34.73682	31.11064	32.2134	34.57378	31.49852
25/12/2013 04:00:00	112	33.05933	38.43375	37.37967	35.38268	34.06721	35.37876	25.71418	28.20753	28.42854	15.02364	15.26707	14.16936	29.88146	31.08886	31.2543	25.32125	26.24204	25.77213	34.03773	36.55708	34.54598	33.38966	31.25962	29.67879	35.39283	37.93768	36.99293	39.77644	32.33458	30.88799	37.10592	38.38726	33.48325	35.04735	35.14418	33.81145	38.0654	38.54921	34.80838	40.97556	34.99311	31.52825	36.27083	32.59543	39.41512	35.8058	34.96867	33.92424	38.35345	39.84535	39.08174	38.22529	36.79604	35.6147	32.91706	37.11303	33.25396	34.58478	37.02534	34.09589
25/12/2013 08:00:00	116	35.56153	41.19555	39.50588	37.54562	36.48342	37.97493	27.0968	29.60865	30.09941	15.14309	15.53943	14.7047	31.52477	32.71231	32.83778	26.34921	27.60777	27.2507	36.17847	38.62305	36.53124	35.44358	32.96183	31.68053	37.79592	40.16494	39.53353	42.15347	34.42446	32.64663	39.07806	41.35116	35.81933	37.5498	37.20919	35.99554	40.85984	40.79916	37.30587	43.53634	37.75567	33.83498	38.98489	34.9314	42.09214	38.11545	37.36221	36.2619	41.18261	42.6372	41.74917	40.52558	39.30086	37.82902	34.70109	39.74618	35.28501	37.00021	39.4165	36.061
